symbol,conflict_reason,recovered_status,official_source_document,evidence_details,classification
NLCINDIA,"Last event was DELETION on June 28, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
NSLNISP,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
NYKAA,"Last event was DELETION on September 30, 2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
PAGEIND,"Last event was DELETION on January 1, 2021, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
PEL,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
PETRONET,"Last event was DELETION on June 30,
2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
PFC,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
PFOCUS,"Last event was DELETION on July
17, 2026, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
PGHL,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
PIIND,"Last event was DELETION on August 29, 2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
PNB,"Last event was DELETION on December 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
PNBHOUSING,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
POLYCAB,"Last event was DELETION on June 28, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
PRINCEPIPE,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
PRSMJOHNSN,"Last event was ADDITION on May 31, 2024, but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
RAINBOW,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
RAJESHEXPO,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
RECLTD,"Last event was DELETION on December 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
RESPONIND,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
RITES,"Last event was DELETION on September 30, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
RKFORGE,"Last event was DELETION on October 31, 2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
ROSSARI,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
ROUTE,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
SAFARI,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
SANOFI,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
SAREGAMA,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
SBICARD,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
SHARDACROP,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
SHREECEM,"Last event was DELETION on August 29, 2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
SHRIRAMFIN,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
SHYAMMETL,"Last event was DELETION on June 28, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
SIEMENS,"Last event was DELETION on February 28, 2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
SJVN,"Last event was DELETION on December 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
SOBHA,"Last event was DELETION on December 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
SOLARINDS,"Last event was DELETION on December 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
SONACOMS,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
SONATSOFTW,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
SPANDANA,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
SRF,"Last event was DELETION on September 30, 2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
SRTRANSFIN,"Last event was ADDITION on June 30, 2022, but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
SUNCLAYLTD,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
SUPREMEIND,"Last event was DELETION on June 28, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
SUVENPHAR,"Last event was ADDITION on December 31, 2024, but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
SWANENERGY,"Last event was ADDITION on September 30, 2022, but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
SWSOLAR,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
TANLA,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
TATACOMM,"Last event was DELETION on May 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
TATACONSUM,"Last event was DELETION on December 31, 2021, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
TATAELXSI,"Last event was DELETION on October 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
TATAINVEST,"Last event was DELETION on June 28, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
TATAPOWER,"Last event was DELETION on December 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
TATASTEEL,"Last event was DELETION on May 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
THERMAX,"Last event was DELETION on December 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
TIINDIA,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
TITAGARH,"Last event was DELETION on December 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
TORNTPHARM,"Last event was DELETION on July 31, 2026, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
TVSMOTOR,"Last event was DELETION on May 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
VALIANTORG,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
VBL,"Last event was DELETION on November 28, 2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
VTL,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
WAAREEENER,"Last event was DELETION on October 31, 2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
WELCORP,"Last event was DELETION on June 28, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
WHIRLPOOL,"Last event was DELETION on January 1, 2021, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
WIPRO,"Last event was DELETION on July 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
ZENSARTECH,"Last event was DELETION on September 30, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
ZFCVINDIA,"Last event was DELETION on September 30, 2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
ZOMATO,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
ZYDUSLIFE,"Last event was DELETION on December 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
