symbol,anomaly_type,first_event_id,first_date,second_event_id,second_date,description
GRAVITA,CONSECUTIVE_ADDITION,PEVT_00750,"March 28, 2025",PEVT_00543,"September 30, 2025",Consecutive ADDITION events without intervening opposite transition
GREENPANEL,CONSECUTIVE_DELETION,PEVT_00614,"September 29, 2023",PEVT_00501,,Consecutive DELETION events without intervening opposite transition
GRINDWELL,CONSECUTIVE_DELETION,PEVT_00457,"March 28, 2025",PEVT_00724,"March 28, 2025",Consecutive DELETION events without intervening opposite transition
GSFC,CONSECUTIVE_DELETION,PEVT_00459,"March 28, 2025",PEVT_00726,"March 28, 2025",Consecutive DELETION events without intervening opposite transition
GSPL,ABSENT_BUT_LAST_EVENT_ADDITION,PEVT_00269,,N/A,N/A,"Stock is absent from current Nifty 500 anchor, but its last historical event was ADDITION on "
GUJGASLTD,CONSECUTIVE_DELETION,PEVT_00432,"March 30, 2026",PEVT_00948,"March 30, 2026",Consecutive DELETION events without intervening opposite transition
HAL,CONSECUTIVE_DELETION,PEVT_00358,"December 31, 2024",PEVT_00503,,Consecutive DELETION events without intervening opposite transition
HAL,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00503,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
HAPPSTMNDS,ABSENT_BUT_LAST_EVENT_ADDITION,PEVT_00916,,N/A,N/A,"Stock is absent from current Nifty 500 anchor, but its last historical event was ADDITION on "
HAPPYFORGE,CONSECUTIVE_DELETION,PEVT_01037,"September 30, 2024",PEVT_01091,"September 30, 2024",Consecutive DELETION events without intervening opposite transition
HATHWAY,CONSECUTIVE_DELETION,PEVT_00688,"December 27, 2019",PEVT_00006,"September 30, 2022",Consecutive DELETION events without intervening opposite transition
HATHWAY,CONSECUTIVE_DELETION,PEVT_00006,"September 30, 2022",PEVT_00894,,Consecutive DELETION events without intervening opposite transition
HBLPOWER,CONSECUTIVE_ADDITION,PEVT_01279,"March 28, 2024",PEVT_00137,"June 28, 2024",Consecutive ADDITION events without intervening opposite transition
HBLPOWER,CONSECUTIVE_DELETION,PEVT_00288,"October 31, 2024",PEVT_00357,"December 31, 2024",Consecutive DELETION events without intervening opposite transition
HEMIPROP,ABSENT_BUT_LAST_EVENT_ADDITION,PEVT_00917,,N/A,N/A,"Stock is absent from current Nifty 500 anchor, but its last historical event was ADDITION on "
HEXT,CONSECUTIVE_ADDITION,PEVT_00544,"September 30, 2025",PEVT_00861,"September 30, 2025",Consecutive ADDITION events without intervening opposite transition
HGS,CONSECUTIVE_DELETION,PEVT_00616,"September 29, 2023",PEVT_00502,,Consecutive DELETION events without intervening opposite transition
HINDCOPPER,CONSECUTIVE_ADDITION,PEVT_00252,"December 31, 2021",PEVT_00138,"June 28, 2024",Consecutive ADDITION events without intervening opposite transition
HINDPETRO,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00339,"January 1, 2021",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on January 1, 2021"
HINDZINC,CONSECUTIVE_ADDITION,PEVT_00222,"December 31, 2021",PEVT_00608,"July 31, 2026",Consecutive ADDITION events without intervening opposite transition
HINDZINC,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00162,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
HONASA,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00652,"October 31, 2025",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on October 31, 2025"
HONAUT,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00790,"May 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on May 31, 2024"
HSCL,CONSECUTIVE_ADDITION,PEVT_01280,"March 28, 2024",PEVT_00397,"December 31, 2024",Consecutive ADDITION events without intervening opposite transition
HYUNDAI,CONSECUTIVE_ADDITION,PEVT_00472,"March 28, 2025",PEVT_00751,"March 28, 2025",Consecutive ADDITION events without intervening opposite transition
ICIL,ABSENT_BUT_LAST_EVENT_ADDITION,PEVT_00918,,N/A,N/A,"Stock is absent from current Nifty 500 anchor, but its last historical event was ADDITION on "
IDEA,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_01053,"September 30, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on September 30, 2024"
IDFC,CONSECUTIVE_DELETION,PEVT_00214,"December 31, 2021",PEVT_00047,"October 10, 2024",Consecutive DELETION events without intervening opposite transition
IDFC,ABSENT_BUT_LAST_EVENT_ADDITION,PEVT_00169,,N/A,N/A,"Stock is absent from current Nifty 500 anchor, but its last historical event was ADDITION on "
IFBIND,CONSECUTIVE_DELETION,PEVT_00617,"September 29, 2023",PEVT_00504,,Consecutive DELETION events without intervening opposite transition
IGIL,CONSECUTIVE_ADDITION,PEVT_00473,"March 28, 2025",PEVT_00752,"March 28, 2025",Consecutive ADDITION events without intervening opposite transition
IGIL,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_01207,"July 31, 2025",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on July 31, 2025"
IIFL,CONSECUTIVE_DELETION,PEVT_00648,"September 27, 2019",PEVT_00314,"January 1, 2021",Consecutive DELETION events without intervening opposite transition
IIFL,CONSECUTIVE_DELETION,PEVT_00314,"January 1, 2021",PEVT_01188,"April 26, 2024",Consecutive DELETION events without intervening opposite transition
IIFL,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_01188,"April 26, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on April 26, 2024"
INDIACEM,CONSECUTIVE_ADDITION,PEVT_00298,"October 31, 2024",PEVT_00398,"December 31, 2024",Consecutive ADDITION events without intervening opposite transition
INDIACEM,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00873,"August 29, 2025",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on August 29, 2025"
INDIAMART,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00237,"December 31, 2021",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on December 31, 2021"
"INDIAN RENEWABLE ENERGY DEV.
AGENCY LTD.",ABSENT_BUT_LAST_EVENT_ADDITION,PEVT_00681,"March 28, 2024",N/A,N/A,"Stock is absent from current Nifty 500 anchor, but its last historical event was ADDITION on March 28, 2024"
INDIGOPNTS,CONSECUTIVE_DELETION,PEVT_01038,"September 30, 2024",PEVT_01092,"September 30, 2024",Consecutive DELETION events without intervening opposite transition
INDOCO,CONSECUTIVE_DELETION,PEVT_00569,"March 31, 2023",PEVT_00057,,Consecutive DELETION events without intervening opposite transition
INDUSTOWER,CONSECUTIVE_ADDITION,PEVT_00225,"December 31, 2021",PEVT_00817,"May 31, 2024",Consecutive ADDITION events without intervening opposite transition
INFIBEAM,CONSECUTIVE_DELETION,PEVT_00671,"November 25, 2020",PEVT_00780,"April 29, 2021",Consecutive DELETION events without intervening opposite transition
INFY,CONSECUTIVE_DELETION,PEVT_01201,"July 31, 2024",PEVT_01208,"July 31, 2025",Consecutive DELETION events without intervening opposite transition
INGERRAND,ABSENT_BUT_LAST_EVENT_ADDITION,PEVT_00065,,N/A,N/A,"Stock is absent from current Nifty 500 anchor, but its last historical event was ADDITION on "
INOXINDIA,CONSECUTIVE_ADDITION,PEVT_01066,"September 30, 2024",PEVT_01114,"September 30, 2024",Consecutive ADDITION events without intervening opposite transition
INOXINDIA,CONSECUTIVE_DELETION,PEVT_00433,"March 30, 2026",PEVT_00950,"March 30, 2026",Consecutive DELETION events without intervening opposite transition
INOXWIND,CONSECUTIVE_ADDITION,PEVT_01283,"March 28, 2024",PEVT_00661,"October 31, 2025",Consecutive ADDITION events without intervening opposite transition
IOC,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00528,"September 30, 2025",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on September 30, 2025"
IRB,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00488,"June 30, 2022",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on June 30, 2022"
IRCON,CONSECUTIVE_DELETION,PEVT_00791,"May 31, 2024",PEVT_00106,"June 28, 2024",Consecutive DELETION events without intervening opposite transition
IRCTC,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00289,"October 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on October 31, 2024"
IREDA,CONSECUTIVE_ADDITION,PEVT_01282,"March 28, 2024",PEVT_01065,"September 30, 2024",Consecutive ADDITION events without intervening opposite transition
IRFC,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00361,"December 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on December 31, 2024"
ITI,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00107,"June 28, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on June 28, 2024"
J&KBANK,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00899,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
JAIBALAJI,CONSECUTIVE_DELETION,PEVT_01039,"September 30, 2024",PEVT_01094,"September 30, 2024",Consecutive DELETION events without intervening opposite transition
JINDALSAW,CONSECUTIVE_DELETION,PEVT_00792,"May 31, 2024",PEVT_00108,"June 28, 2024",Consecutive DELETION events without intervening opposite transition
JINDALSAW,CONSECUTIVE_DELETION,PEVT_00108,"June 28, 2024",PEVT_01209,"July 31, 2025",Consecutive DELETION events without intervening opposite transition
JKLAKSHMI,CONSECUTIVE_DELETION,PEVT_00793,"May 31, 2024",PEVT_00727,"March 28, 2025",Consecutive DELETION events without intervening opposite transition
JMFINANCIL,CONSECUTIVE_DELETION,PEVT_00489,"June 30, 2022",PEVT_00163,,Consecutive DELETION events without intervening opposite transition
JSWCEMENT,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00423,"December 31, 2025",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on December 31, 2025"
JUBLFOOD,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00239,"December 31, 2021",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on December 31, 2021"
JUBLPHARMA,CONSECUTIVE_ADDITION,PEVT_00401,"December 31, 2024",PEVT_00547,"September 30, 2025",Consecutive ADDITION events without intervening opposite transition
JWL,CONSECUTIVE_ADDITION,PEVT_01288,"March 28, 2024",PEVT_00142,"June 28, 2024",Consecutive ADDITION events without intervening opposite transition
JWL,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00363,"December 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on December 31, 2024"
JYOTHYLAB,CONSECUTIVE_DELETION,PEVT_00109,"June 28, 2024",PEVT_00434,"March 30, 2026",Consecutive DELETION events without intervening opposite transition
JYOTHYLAB,CONSECUTIVE_DELETION,PEVT_00434,"March 30, 2026",PEVT_00951,"March 30, 2026",Consecutive DELETION events without intervening opposite transition
JYOTICNC,CONSECUTIVE_ADDITION,PEVT_01069,"September 30, 2024",PEVT_00299,"October 31, 2024",Consecutive ADDITION events without intervening opposite transition
KANSAINER,CONSECUTIVE_DELETION,PEVT_00529,"September 30, 2025",PEVT_00840,"September 30, 2025",Consecutive DELETION events without intervening opposite transition
KARURVYSYA,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00110,"June 28, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on June 28, 2024"
KAYNES,CONSECUTIVE_DELETION,PEVT_00111,"June 28, 2024",PEVT_01095,"September 30, 2024",Consecutive DELETION events without intervening opposite transition
KEI,CONSECUTIVE_ADDITION,PEVT_00246,"December 31, 2021",PEVT_00190,,Consecutive ADDITION events without intervening opposite transition
KFINTECH,CONSECUTIVE_ADDITION,PEVT_00404,"December 31, 2024",PEVT_00067,,Consecutive ADDITION events without intervening opposite transition
KIMS,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_01098,"September 30, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on September 30, 2024"
KIRLFER,ABSENT_BUT_LAST_EVENT_ADDITION,PEVT_00518,,N/A,N/A,"Stock is absent from current Nifty 500 anchor, but its last historical event was ADDITION on "
KIRLOSBROS,CONSECUTIVE_ADDITION,PEVT_01070,"September 30, 2024",PEVT_01115,"September 30, 2024",Consecutive ADDITION events without intervening opposite transition
KIRLOSBROS,CONSECUTIVE_DELETION,PEVT_00435,"March 30, 2026",PEVT_00952,"March 30, 2026",Consecutive DELETION events without intervening opposite transition
KNRCON,CONSECUTIVE_DELETION,PEVT_00290,"October 31, 2024",PEVT_00841,"September 30, 2025",Consecutive DELETION events without intervening opposite transition
KOTAKBANK,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00342,"January 1, 2021",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on January 1, 2021"
KPIL,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00364,"December 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on December 31, 2024"
KRBL,CONSECUTIVE_DELETION,PEVT_01041,"September 30, 2024",PEVT_01097,"September 30, 2024",Consecutive DELETION events without intervening opposite transition
KSB,CONSECUTIVE_DELETION,PEVT_00460,"March 28, 2025",PEVT_00728,"March 28, 2025",Consecutive DELETION events without intervening opposite transition
KSB,CONSECUTIVE_ADDITION,PEVT_00548,"September 30, 2025",PEVT_00863,"September 30, 2025",Consecutive ADDITION events without intervening opposite transition
KSB,CONSECUTIVE_DELETION,PEVT_00436,"March 30, 2026",PEVT_00953,"March 30, 2026",Consecutive DELETION events without intervening opposite transition
KSB,ABSENT_BUT_LAST_EVENT_ADDITION,PEVT_00068,,N/A,N/A,"Stock is absent from current Nifty 500 anchor, but its last historical event was ADDITION on "
LALPATHLAB,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_01200,"July 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on July 31, 2024"
LLOYDSME,CONSECUTIVE_ADDITION,PEVT_01289,"March 28, 2024",PEVT_00405,"December 31, 2024",Consecutive ADDITION events without intervening opposite transition
LTFOODS,CONSECUTIVE_ADDITION,PEVT_00474,"March 28, 2025",PEVT_00755,"March 28, 2025",Consecutive ADDITION events without intervening opposite transition
LXCHEM,CONSECUTIVE_DELETION,PEVT_01042,"September 30, 2024",PEVT_01099,"September 30, 2024",Consecutive DELETION events without intervening opposite transition
MAHLIFE,CONSECUTIVE_DELETION,PEVT_01017,"August 31, 2023",PEVT_00729,"March 28, 2025",Consecutive DELETION events without intervening opposite transition
MAHLOG,CONSECUTIVE_DELETION,PEVT_01018,"August 31, 2023",PEVT_00622,"September 29, 2023",Consecutive DELETION events without intervening opposite transition
MAHSEAMLES,CONSECUTIVE_DELETION,PEVT_00530,"September 30, 2025",PEVT_00955,"March 30, 2026",Consecutive DELETION events without intervening opposite transition
MANKIND,CONSECUTIVE_DELETION,PEVT_00046,"July 13, 2023",PEVT_00669,"February 28, 2025",Consecutive DELETION events without intervening opposite transition
MANKIND,CONSECUTIVE_DELETION,PEVT_00669,"February 28, 2025",PEVT_00531,"September 30, 2025",Consecutive DELETION events without intervening opposite transition
MANKIND,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00531,"September 30, 2025",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on September 30, 2025"
MANYAVAR,CONSECUTIVE_DELETION,PEVT_01106,"September 30, 2024",PEVT_00964,"March 30, 2026",Consecutive DELETION events without intervening opposite transition
MAPMYINDIA,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00099,"June 28, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on June 28, 2024"
MASTEK,CONSECUTIVE_DELETION,PEVT_00532,"September 30, 2025",PEVT_00842,"September 30, 2025",Consecutive DELETION events without intervening opposite transition
MAXHEALTH,CONSECUTIVE_ADDITION,PEVT_00877,"August 29, 2025",PEVT_00922,,Consecutive ADDITION events without intervening opposite transition
MAXINDIA,ABSENT_BUT_LAST_EVENT_ADDITION,PEVT_00094,"March 31, 2017",N/A,N/A,"Stock is absent from current Nifty 500 anchor, but its last historical event was ADDITION on March 31, 2017"
MCX,CONSECUTIVE_ADDITION,PEVT_00407,"December 31, 2024",PEVT_00191,,Consecutive ADDITION events without intervening opposite transition
MEDPLUS,CONSECUTIVE_ADDITION,PEVT_01172,"March
31, 2022",PEVT_00820,"May 31, 2024",Consecutive ADDITION events without intervening opposite transition
MEDPLUS,CONSECUTIVE_DELETION,PEVT_01044,"September 30, 2024",PEVT_01100,"September 30, 2024",Consecutive DELETION events without intervening opposite transition
METROBRAND,CONSECUTIVE_ADDITION,PEVT_01173,"March
31, 2022",PEVT_00821,"May 31, 2024",Consecutive ADDITION events without intervening opposite transition
METROBRAND,CONSECUTIVE_DELETION,PEVT_00461,"March 28, 2025",PEVT_00730,"March 28, 2025",Consecutive DELETION events without intervening opposite transition
METROPOLIS,CONSECUTIVE_DELETION,PEVT_00437,"March 30, 2026",PEVT_00956,"March 30, 2026",Consecutive DELETION events without intervening opposite transition
MFL,ABSENT_BUT_LAST_EVENT_ADDITION,PEVT_00597,"March 31, 2023",N/A,N/A,"Stock is absent from current Nifty 500 anchor, but its last historical event was ADDITION on March 31, 2023"
MFSL,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_01303,"September 29, 2017",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on September 29, 2017"
MGL,CONSECUTIVE_ADDITION,PEVT_00095,"March 31, 2017",PEVT_00492,"June 30, 2022",Consecutive ADDITION events without intervening opposite transition
MGL,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00263,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
MINDACORP,CONSECUTIVE_ADDITION,PEVT_00638,"September 29, 2023",PEVT_00822,"May 31, 2024",Consecutive ADDITION events without intervening opposite transition
MINDACORP,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00533,"September 30, 2025",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on September 30, 2025"
MMTC,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00292,"October 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on October 31, 2024"
MOTHERSON,CONSECUTIVE_ADDITION,PEVT_00033,"September 30, 2022",PEVT_00151,"June 28, 2024",Consecutive ADDITION events without intervening opposite transition
MOTHERSON,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00373,"December 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on December 31, 2024"
MRF,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00180,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
MRPL,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00365,"December 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on December 31, 2024"
MSUMI,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00073,"June 30,
2025",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on June 30,
2025"
MTARTECH,CONSECUTIVE_DELETION,PEVT_00071,"April 07, 2022",PEVT_01045,"September 30, 2024",Consecutive DELETION events without intervening opposite transition
NATIONALUM,CONSECUTIVE_ADDITION,PEVT_00254,"December 31, 2021",PEVT_00145,"June 28, 2024",Consecutive ADDITION events without intervening opposite transition
NAUKRI,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00505,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
NAVA,CONSECUTIVE_ADDITION,PEVT_00475,"March 28, 2025",PEVT_00756,"March 28, 2025",Consecutive ADDITION events without intervening opposite transition
NAVINFLUOR,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00240,"December 31, 2021",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on December 31, 2021"
NCC,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00251,"December 31, 2021",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on December 31, 2021"
NETWEB,CONSECUTIVE_ADDITION,PEVT_01072,"September 30, 2024",PEVT_01116,"September 30, 2024",Consecutive ADDITION events without intervening opposite transition
NETWEB,CONSECUTIVE_ADDITION,PEVT_01116,"September 30, 2024",PEVT_00409,"December 31, 2024",Consecutive ADDITION events without intervening opposite transition
NETWORK18,CONSECUTIVE_DELETION,PEVT_01227,"November 02, 2020",PEVT_00843,"September 30, 2025",Consecutive DELETION events without intervening opposite transition
NEULANDLAB,CONSECUTIVE_ADDITION,PEVT_00476,"March 28, 2025",PEVT_00757,"March 28, 2025",Consecutive ADDITION events without intervening opposite transition
NH,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00293,"October 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on October 31, 2024"
NHPC,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00367,"December 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on December 31, 2024"
NIACL,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00124,"June 28, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on June 28, 2024"
NLCINDIA,CONSECUTIVE_DELETION,PEVT_00316,"January 1, 2021",PEVT_00115,"June 28, 2024",Consecutive DELETION events without intervening opposite transition
NLCINDIA,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00115,"June 28, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on June 28, 2024"
NMDC,CONSECUTIVE_DELETION,PEVT_00302,"August 08, 2022",PEVT_01213,"August 08, 2022",Consecutive DELETION events without intervening opposite transition
NMDC,CONSECUTIVE_ADDITION,PEVT_00069,,PEVT_00271,,Consecutive ADDITION events without intervening opposite transition
NOCIL,CONSECUTIVE_DELETION,PEVT_00623,"September 29, 2023",PEVT_00507,,Consecutive DELETION events without intervening opposite transition
NSLNISP,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00686,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
NUVOCO,CONSECUTIVE_ADDITION,PEVT_01174,"March
31, 2022",PEVT_01009,"August 30, 2022",Consecutive ADDITION events without intervening opposite transition
NUVOCO,CONSECUTIVE_DELETION,PEVT_00462,"March 28, 2025",PEVT_00731,"March 28, 2025",Consecutive DELETION events without intervening opposite transition
NUVOCO,CONSECUTIVE_ADDITION,PEVT_00549,"September 30, 2025",PEVT_00865,"September 30, 2025",Consecutive ADDITION events without intervening opposite transition
NYKAA,CONSECUTIVE_ADDITION,PEVT_01165,"March
31, 2022",PEVT_00816,"May 31, 2024",Consecutive ADDITION events without intervening opposite transition
NYKAA,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00527,"September 30, 2025",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on September 30, 2025"
OLECTRA,CONSECUTIVE_ADDITION,PEVT_00030,"September 30, 2022",PEVT_00706,,Consecutive ADDITION events without intervening opposite transition
PAGEIND,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00343,"January 1, 2021",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on January 1, 2021"
PAYTM,CONSECUTIVE_ADDITION,PEVT_01175,"March
31, 2022",PEVT_00192,,Consecutive ADDITION events without intervening opposite transition
PCBL,CONSECUTIVE_DELETION,PEVT_00116,"June 28, 2024",PEVT_01101,"September 30, 2024",Consecutive DELETION events without intervening opposite transition
PEL,ABSENT_BUT_LAST_EVENT_ADDITION,PEVT_00272,,N/A,N/A,"Stock is absent from current Nifty 500 anchor, but its last historical event was ADDITION on "
PETRONET,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00074,"June 30,
2025",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on June 30,
2025"
PFC,CONSECUTIVE_DELETION,PEVT_00368,"December 31, 2024",PEVT_00201,,Consecutive DELETION events without intervening opposite transition
PFC,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00201,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
PFIZER,CONSECUTIVE_DELETION,PEVT_01019,"August 31, 2023",PEVT_01250,"March 28, 2024",Consecutive DELETION events without intervening opposite transition
PFOCUS,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00482,"July
17, 2026",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on July
17, 2026"
PGEL,CONSECUTIVE_ADDITION,PEVT_00477,"March 28, 2025",PEVT_00761,"March 28, 2025",Consecutive ADDITION events without intervening opposite transition
PGHH,CONSECUTIVE_DELETION,PEVT_00463,"March 28, 2025",PEVT_00732,"March 28, 2025",Consecutive DELETION events without intervening opposite transition
PGHH,CONSECUTIVE_ADDITION,PEVT_00550,"September 30, 2025",PEVT_00867,"September 30, 2025",Consecutive ADDITION events without intervening opposite transition
PGHH,CONSECUTIVE_DELETION,PEVT_00438,"March 30, 2026",PEVT_00958,"March 30, 2026",Consecutive DELETION events without intervening opposite transition
PGHL,CONSECUTIVE_DELETION,PEVT_01252,"March 28, 2024",PEVT_00058,,Consecutive DELETION events without intervening opposite transition
PGHL,ABSENT_BUT_LAST_EVENT_ADDITION,PEVT_00519,,N/A,N/A,"Stock is absent from current Nifty 500 anchor, but its last historical event was ADDITION on "
PIIND,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00874,"August 29, 2025",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on August 29, 2025"
PNB,CONSECUTIVE_ADDITION,PEVT_00326,"January 1, 2021",PEVT_00149,"June 28, 2024",Consecutive ADDITION events without intervening opposite transition
PNB,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00370,"December 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on December 31, 2024"
PNBHOUSING,CONSECUTIVE_DELETION,PEVT_00117,"June 28, 2024",PEVT_00181,,Consecutive DELETION events without intervening opposite transition
PNBHOUSING,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00181,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
PNCINFRA,CONSECUTIVE_DELETION,PEVT_00798,"May 31, 2024",PEVT_00844,"September 30, 2025",Consecutive DELETION events without intervening opposite transition
POLICYBZR,CONSECUTIVE_ADDITION,PEVT_01176,"March
31, 2022",PEVT_00411,"December 31, 2024",Consecutive ADDITION events without intervening opposite transition
POLICYBZR,CONSECUTIVE_ADDITION,PEVT_00411,"December 31, 2024",PEVT_00193,,Consecutive ADDITION events without intervening opposite transition
POLYCAB,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00118,"June 28, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on June 28, 2024"
POLYPLEX,CONSECUTIVE_DELETION,PEVT_01251,"March 28, 2024",PEVT_00264,,Consecutive DELETION events without intervening opposite transition
PPLPHARMA,CONSECUTIVE_DELETION,PEVT_00261,"February 17, 2023",PEVT_00797,"May 31, 2024",Consecutive DELETION events without intervening opposite transition
PPLPHARMA,CONSECUTIVE_ADDITION,PEVT_00414,"December 31, 2024",PEVT_00712,,Consecutive ADDITION events without intervening opposite transition
